-,-,-
GestureID1 :
-,-,-
GestureID2 :
48, 228, 977
47, 230, 978
47, 230, 980
47, 230, 979
47, 230, 979
45, 231, 980
50, 224, 980
51, 226, 980
50, 222, 980
50, 222, 980
53, 221, 979
55, 217, 979
57, 213, 977
57, 213, 977
57, 215, 978
53, 217, 985
60, 212, 974
57, 214, 979
57, 214, 979
57, 213, 978
68, 217, 943
-,-,-
GestureID3 :
36, 246, 975
37, 243, 974
37, 242, 973
35, 243, 974
35, 243, 974
24, 253, 984
-,-,-
GestureID4 :
37, 249, 971
38, 249, 970
37, 249, 970
36, 250, 971
37, 249, 970
37, 249, 970
37, 246, 973
38, 247, 971
38, 247, 971
38, 247, 971
37, 246, 973
38, 247, 972
37, 247, 972
36, 246, 973
36, 246, 973
39, 245, 972
39, 245, 971
35, 241, 976
35, 241, 976
-,-,-
GestureID5 :
36, 260, 971
36, 259, 968
37, 259, 969
37, 259, 969
37, 259, 969
37, 259, 970
37, 258, 969
37, 258, 969
37, 258, 969
38, 258, 969
37, 258, 969
37, 259, 970
37, 259, 970
37, 258, 969
38, 257, 969
37, 253, 971
37, 253, 971
